Node ID (sub-cluster),Relationship,Node ID (cluster)
0,SUBTYPE,81688
0,SUBTYPE,7234
0,SUBTYPE,78324
0,SUBTYPE,77202
0,SUBTYPE,3525
0,SUBTYPE,6332
0,SUBTYPE,10956
0,SUBTYPE,81205
0,SUBTYPE,2200
0,SUBTYPE,70122
0,SUBTYPE,2031
0,SUBTYPE,5133
0,SUBTYPE,70064
0,SUBTYPE,11529
0,SUBTYPE,262
0,SUBTYPE,71139
0,SUBTYPE,2529
0,SUBTYPE,8132
0,SUBTYPE,6619
0,SUBTYPE,76145
0,SUBTYPE,68336
0,SUBTYPE,13850
0,SUBTYPE,10037
0,SUBTYPE,8739
0,SUBTYPE,67390
0,SUBTYPE,78740
0,SUBTYPE,13339
0,SUBTYPE,13154
0,SUBTYPE,78550
0,SUBTYPE,72936
0,SUBTYPE,5666
0,SUBTYPE,72963
0,SUBTYPE,67743
0,SUBTYPE,12551
0,SUBTYPE,79145
0,SUBTYPE,70926
0,SUBTYPE,76612
0,SUBTYPE,14812
0,SUBTYPE,4428
0,SUBTYPE,12592
0,SUBTYPE,8488
0,SUBTYPE,7897
0,SUBTYPE,73975
0,SUBTYPE,13443
0,SUBTYPE,8899
0,SUBTYPE,10283
0,SUBTYPE,13438
0,SUBTYPE,6518
0,SUBTYPE,81069
0,SUBTYPE,14602
0,SUBTYPE,81111
0,SUBTYPE,21
0,SUBTYPE,4899
0,SUBTYPE,76509
0,SUBTYPE,9831
0,SUBTYPE,2000
0,SUBTYPE,6563
0,SUBTYPE,79980
0,SUBTYPE,5715
0,SUBTYPE,71731
0,SUBTYPE,76244
0,SUBTYPE,73432
0,SUBTYPE,67560
0,SUBTYPE,4437
0,SUBTYPE,79415
0,SUBTYPE,73275
0,SUBTYPE,7695
0,SUBTYPE,8902
0,SUBTYPE,3929
0,SUBTYPE,523
0,SUBTYPE,74231
0,SUBTYPE,72618
0,SUBTYPE,5352
0,SUBTYPE,85
0,SUBTYPE,68685
0,SUBTYPE,72095
0,SUBTYPE,14810
0,SUBTYPE,6546
0,SUBTYPE,9807
0,SUBTYPE,76560
0,SUBTYPE,80670
0,SUBTYPE,69361
0,SUBTYPE,77360
0,SUBTYPE,68612
0,SUBTYPE,81523
0,SUBTYPE,80451
0,SUBTYPE,5315
0,SUBTYPE,71331
0,SUBTYPE,70257
0,SUBTYPE,8901
0,SUBTYPE,76077
0,SUBTYPE,67735
0,SUBTYPE,76284
0,SUBTYPE,8337
0,SUBTYPE,67388
0,SUBTYPE,68826
0,SUBTYPE,471
0,SUBTYPE,4094
0,SUBTYPE,78780
0,SUBTYPE,11097
0,SUBTYPE,4468
0,SUBTYPE,14194
0,SUBTYPE,68922
0,SUBTYPE,78350
0,SUBTYPE,78597
0,SUBTYPE,72063
0,SUBTYPE,73910
0,SUBTYPE,70287
0,SUBTYPE,67132
0,SUBTYPE,11841
0,SUBTYPE,79820
0,SUBTYPE,2661
0,SUBTYPE,6510
0,SUBTYPE,917
0,SUBTYPE,13315
0,SUBTYPE,12865
0,SUBTYPE,68495
0,SUBTYPE,76824
13480,SUBTYPE,3889
13480,SUBTYPE,2384
13480,SUBTYPE,9675
13480,SUBTYPE,4367
13480,SUBTYPE,80358
13480,SUBTYPE,76745
13480,SUBTYPE,75283
13480,SUBTYPE,7342
13480,SUBTYPE,3035
13480,SUBTYPE,4977
13480,SUBTYPE,75953
13480,SUBTYPE,11080
13480,SUBTYPE,2845
13480,SUBTYPE,3595
13480,SUBTYPE,1971
13480,SUBTYPE,81788
13480,SUBTYPE,67316
13480,SUBTYPE,69099
13480,SUBTYPE,79670
13480,SUBTYPE,80501
13480,SUBTYPE,77239
13480,SUBTYPE,70500
13480,SUBTYPE,14415
13480,SUBTYPE,80411
13480,SUBTYPE,71120
13480,SUBTYPE,241
13480,SUBTYPE,78466
13480,SUBTYPE,8237
13480,SUBTYPE,80515
13480,SUBTYPE,12323
13480,SUBTYPE,592
13480,SUBTYPE,81828
13480,SUBTYPE,72102
13480,SUBTYPE,11532
13480,SUBTYPE,70051
13480,SUBTYPE,75641
13480,SUBTYPE,77030
13480,SUBTYPE,71848
13480,SUBTYPE,73018
13480,SUBTYPE,80771
13480,SUBTYPE,70777
13480,SUBTYPE,6336
13480,SUBTYPE,74636
13480,SUBTYPE,75453
13480,SUBTYPE,6776
13480,SUBTYPE,76306
13480,SUBTYPE,78085
13480,SUBTYPE,6017
13480,SUBTYPE,8222
13480,SUBTYPE,1647
13480,SUBTYPE,1258
13480,SUBTYPE,14142
13480,SUBTYPE,14640
13480,SUBTYPE,70431
13480,SUBTYPE,79334
13480,SUBTYPE,79818
13480,SUBTYPE,6940
13480,SUBTYPE,6864
13480,SUBTYPE,79173
13480,SUBTYPE,13292
13480,SUBTYPE,69909
13480,SUBTYPE,12632
13480,SUBTYPE,10937
13480,SUBTYPE,72359
13480,SUBTYPE,1337
13480,SUBTYPE,13096
13480,SUBTYPE,6552
